Дата | Выработка (Вт⋅ч) | Потребление (Вт⋅ч)
2025-05-21 | 247,25 | 31,00
2025-05-22 | 262,14 | 31,00
2025-05-23 | 315,65 | 31,00
2025-05-24 | 317,14 | 31,00
2025-05-25 | 396,40 | 31,00
2025-05-26 | 477,30 | 31,00
2025-05-27 | 463,74 | 31,00
2025-05-28 | 444,83 | 31,00
2025-05-29 | 462,00 | 31,00
2025-05-30 | 414,19 | 31,00
2025-05-31 | 414,49 | 31,00
2025-06-01 | 410,82 | 32,00
2025-06-02 | 397,26 | 32,00
2025-06-03 | 438,32 | 32,00
2025-06-04 | 404,87 | 32,00
2025-06-05 | 367,15 | 32,00
2025-06-06 | 383,20 | 32,00
2025-06-07 | 394,15 | 32,00
2025-06-08 | 412,63 | 32,00
2025-06-09 | 383,35 | 32,00
2025-06-10 | 382,84 | 32,00
2025-06-11 | 411,06 | 32,00
2025-06-12 | 444,36 | 32,00
2025-06-13 | 487,30 | 32,00
2025-06-14 | 487,50 | 32,00
2025-06-15 | 487,68 | 32,00
2025-06-16 | 510,43 | 32,00
2025-06-17 | 497,20 | 32,00
2025-06-18 | 483,76 | 32,00
2025-06-19 | 471,19 | 32,00
2025-06-20 | 454,82 | 32,00
2025-06-21 | 481,30 | 32,00
2025-06-22 | 464,91 | 32,00
2025-06-23 | 455,75 | 32,00
2025-06-24 | 454,33 | 32,00
2025-06-25 | 526,12 | 32,00
2025-06-26 | 513,30 | 32,00
2025-06-27 | 540,05 | 32,00
2025-06-28 | 510,36 | 32,00
2025-06-29 | 510,36 | 32,00
2025-06-30 | 518,75 | 32,00
2025-07-01 | 506,34 | 32,00
2025-07-02 | 498,76 | 32,00
2025-07-03 | 477,51 | 32,00
2025-07-04 | 457,90 | 32,00
2025-07-05 | 456,99 | 32,00
2025-07-06 | 456,05 | 32,00
2025-07-07 | 406,55 | 32,00
2025-07-08 | 352,79 | 32,00
2025-07-09 | 323,09 | 32,00
2025-07-10 | 352,54 | 32,00
2025-07-11 | 341,55 | 32,00
2025-07-12 | 325,86 | 31,00
2025-07-13 | 325,71 | 31,00
2025-07-14 | 365,97 | 31,00
2025-07-15 | 441,34 | 31,00
2025-07-16 | 440,42 | 30,00
2025-07-17 | 441,72 | 30,00
2025-07-18 | 473,05 | 30,00
2025-07-19 | 451,48 | 30,00
2025-07-20 | 451,17 | 30,00
2025-07-21 | 374,49 | 30,00
2025-07-22 | 279,94 | 30,00
2025-07-23 | 277,57 | 30,00
2025-07-24 | 303,03 | 30,00
2025-07-25 | 268,63 | 30,00
2025-07-26 | 321,93 | 30,00
2025-07-27 | 321,74 | 30,00
2025-07-28 | 333,44 | 30,00
2025-07-29 | 356,61 | 30,00
2025-07-30 | 373,83 | 30,00
2025-07-31 | 373,56 | 30,00
2025-08-01 | 410,12 | 30,00
2025-08-02 | 337,83 | 30,00
2025-08-03 | 344,25 | 30,00
2025-08-04 | 354,34 | 30,00
2025-08-05 | 339,85 | 30,00
2025-08-06 | 340,74 | 30,00
2025-08-07 | 324,55 | 30,00
2025-08-08 | 328,62 | 30,00
2025-08-09 | 374,11 | 30,00
2025-08-10 | 374,04 | 30,00
2025-08-11 | 356,91 | 30,00
2025-08-12 | 372,10 | 30,00
2025-08-13 | 388,64 | 30,00
2025-08-14 | 404,72 | 29,00
2025-08-15 | 414,98 | 28,00
2025-08-16 | 390,03 | 28,00
2025-08-17 | 406,33 | 28,00
2025-08-18 | 434,83 | 28,00
2025-08-19 | 410,86 | 28,00
2025-08-20 | 372,58 | 28,00
2025-08-21 | 350,54 | 28,00
2025-08-22 | 327,26 | 28,00
2025-08-23 | 359,50 | 28,00
2025-08-24 | 359,27 | 28,00
2025-08-25 | 350,22 | 28,00
2025-08-26 | 416,46 | 28,00
2025-08-27 | 466,62 | 28,00
2025-08-28 | 466,34 | 28,00
2025-08-29 | 465,89 | 28,00
2025-08-30 | 453,26 | 28,00
2025-08-31 | 392,22 | 28,00
2025-09-01 | 430,35 | 28,00
2025-09-02 | 369,25 | 28,00
2025-09-03 | 372,05 | 28,00
2025-09-04 | 353,03 | 28,00
2025-09-05 | 341,50 | 27,00
2025-09-06 | 336,95 | 27,00
2025-09-07 | 345,94 | 27,00
2025-09-08 | 313,13 | 27,00
2025-09-09 | 309,33 | 27,00
2025-09-10 | 308,92 | 27,00
2025-09-11 | 339,50 | 27,00
2025-09-12 | 318,26 | 27,00
2025-09-13 | 331,37 | 27,00
2025-09-14 | 349,32 | 26,00
2025-09-15 | 362,69 | 26,00
2025-09-16 | 385,03 | 26,00
2025-09-17 | 392,82 | 26,00
2025-09-18 | 403,68 | 26,00
2025-09-19 | 444,49 | 26,00
2025-09-20 | 401,40 | 26,00
2025-09-21 | 362,22 | 26,00
2025-09-22 | 315,03 | 26,00
2025-09-23 | 314,16 | 25,00
2025-09-24 | 280,62 | 25,00
2025-09-25 | 246,79 | 25,00
2025-09-26 | 259,86 | 25,00
2025-09-27 | 286,70 | 25,00
2025-09-28 | 269,11 | 25,00
2025-09-29 | 268,92 | 25,00
2025-09-30 | 251,78 | 25,00
2025-10-01 | 276,50 | 25,00
2025-10-02 | 282,78 | 24,00
2025-10-03 | 290,67 | 24,00
2025-10-04 | 289,18 | 24,00
2025-10-05 | 314,69 | 24,00
2025-10-06 | 318,87 | 24,00
2025-10-07 | 323,98 | 24,00
2025-10-08 | 323,21 | 24,00
2025-10-09 | 322,39 | 24,00
2025-10-10 | 285,81 | 24,00
2025-10-11 | 322,74 | 24,00
2025-10-12 | 353,81 | 23,00
2025-10-13 | 391,33 | 23,00
2025-10-14 | 420,15 | 23,00
2025-10-15 | 371,65 | 22,00
2025-10-16 | 370,66 | 22,00
2025-10-17 | 363,84 | 22,00
2025-10-18 | 334,09 | 22,00
2025-10-19 | 300,84 | 22,00
2025-10-20 | 286,08 | 22,00
2025-10-21 | 260,11 | 22,00
2025-10-22 | 250,88 | 21,00
2025-10-23 | 232,42 | 21,00
2025-10-24 | 185,55 | 21,00
2025-10-25 | 170,79 | 21,00
2025-10-26 | 203,46 | 21,00
2025-10-27 | 218,28 | 21,00
2025-10-28 | 231,45 | 21,00
2025-10-29 | 258,90 | 21,00
2025-10-30 | 258,29 | 21,00
2025-10-31 | 259,17 | 21,00
2025-11-01 | 290,10 | 21,00
2025-11-02 | 275,50 | 21,00
2025-11-03 | 274,80 | 20,00
2025-11-04 | 256,73 | 20,00
2025-11-05 | 263,44 | 20,00
2025-11-06 | 262,90 | 20,00
2025-11-07 | 258,40 | 20,00
2025-11-08 | 242,51 | 20,00
2025-11-09 | 241,99 | 20,00
2025-11-10 | 209,30 | 19,00
2025-11-11 | 231,08 | 19,00
2025-11-12 | 202,95 | 19,00
2025-11-13 | 198,36 | 19,00
2025-11-14 | 196,11 | 19,00
2025-11-15 | 192,35 | 19,00
2025-11-16 | 226,59 | 19,00
2025-11-17 | 215,56 | 19,00
2025-11-18 | 231,19 | 18,00
2025-11-19 | 255,09 | 18,00
2025-11-20 | 273,22 | 18,00
2025-11-21 | 312,98 | 18,00
2025-11-22 | 312,33 | 18,00
2025-11-23 | 302,03 | 18,00
2025-11-24 | 323,71 | 18,00
2025-11-25 | 300,92 | 18,00
2025-11-26 | 254,08 | 18,00
2025-11-27 | 228,21 | 18,00
2025-11-28 | 206,86 | 18,00
2025-11-29 | 225,36 | 18,00
2025-11-30 | 214,71 | 18,00
2025-12-01 | 202,56 | 18,00
2025-12-02 | 213,30 | 18,00
2025-12-03 | 239,96 | 18,00
2025-12-04 | 260,85 | 18,00
2025-12-05 | 231,01 | 18,00
2025-12-06 | 212,85 | 18,00
2025-12-07 | 180,49 | 17,00
2025-12-08 | 204,13 | 17,00
2025-12-09 | 178,76 | 17,00
2025-12-10 | 192,15 | 17,00
2025-12-11 | 182,61 | 17,00
2025-12-12 | 192,93 | 17,00
2025-12-13 | 204,07 | 17,00
2025-12-14 | 195,21 | 17,00
2025-12-15 | 184,61 | 17,00
2025-12-16 | 201,22 | 17,00
2025-12-17 | 190,65 | 17,00
2025-12-18 | 196,07 | 17,00
2025-12-19 | 194,55 | 17,00
2025-12-20 | 174,09 | 17,00
2025-12-21 | 174,10 | 17,00
2025-12-22 | 170,31 | 17,00
2025-12-23 | 169,87 | 17,00
2025-12-24 | 168,28 | 17,00
2025-12-25 | 168,34 | 17,00
2025-12-26 | 177,63 | 17,00
2025-12-27 | 182,11 | 17,00
2025-12-28 | 193,54 | 17,00
2025-12-29 | 198,75 | 17,00
2025-12-30 | 175,56 | 17,00
2025-12-31 | 153,50 | 17,00
